Peak Name,Star Name,Occlusion Time,Occlusion Date,UTC, Observer Name,Peak Lat,Peak Long,Obs Lat,Obs Long,Peak Alt (m),Obs Alt (m),Distance (m),Star->Peak ♈︎ (dd),Star->Peak ϵ (dd),Star->Obs ♈︎ (dd),Star->Obs ϵ (dd),Canva Links,Star GP Lat,Star GP Long,Star GP Dist (m),Star Drop Rate (arcsec),GE Occlusion Check,Temp (C),Azi (Peak)
Pikes Peak,39 Aquarii,18:43:07 ,1/27/2025,-7,Dr. Heffron,38.840278,-105.044444,38.9997,-104.49723,4300.0000,2073.0000,50550.7634,2.5562,2.7486,2.1024,2.3256,https://www.canva.com/design/DAGuZzsUYXg/qAqZfOXVKZs6RJTDx5ZLmw/edit?utm_content=DAGuZzsUYXg&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,-14.072628,179.92305,9774006,-10.97,18:43:14,-0.2,
Blodgett Peak,LP Aquarii,19:06:56 ,2/7/2025,-7,Dr. Heffron,38.958889,-104.907222,38.9997,-104.49723,2870.0000,2073.0000,35729.0224,1.1925,1.4572,0.8712,1.1636,https://www.canva.com/design/DAGupsE_8_c/3Cs2JU74kPcX8_EnM8Xg0A/edit,-4.973055,170.66983,8343705,-11.58,19:07:11,,
Cheyenne Mtn,Mu Fornacis,19:01:14 ,3/9/2025,-6,Dr. Heffron,38.743889,-104.862778,38.9997,-104.49723,2883.0000,2073.0000,42550.7543,1.0011,1.2796,0.6184,0.9356,https://www.canva.com/design/DAGus3QgsXQ/kxu5IAhyKFuwtI3-c9IZVw/edit?utm_content=DAGus3QgsXQ&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,-30.608936,-164.813828,9938836,-8.74,19:01:26,,
Blue Mtn,HD 32515,21:32:54 ,3/12/2025,-6,Dr. Heffron,38.693889,-104.915833,38.9997,-104.49723,3001.0000,2073.0000,49703.9764,1.0051,1.2833,0.5582,0.8850,https://www.canva.com/design/DAGutSizCak/7J_EYU1eBEYTpgd118RxKQ/edit?utm_content=DAGutSizCak&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,,,,-8.52,21:33:07,,
Mount Rosa,HD 17320,19:51:26 ,3/10/2025,-6,Dr. Heffron,38.754167,-104.948056,38.9997,-104.49723,3506.0000,2073.0000,47627.6460,1.7113,1.9435,1.2830,1.5469,https://www.canva.com/design/DAGutZJTXu0/W_IDu7dSKM-5R0YXIUg5Pg/edit?utm_content=DAGutZJTXu0&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,-25.23214,-170.075089,9864951,-9.62,19:51:37,,
Green Mtn,HD 28388,22:02:58 ,3/14/2025,-6,Dr. Heffron,38.696111,-104.963333,38.9997,-104.49723,3084.9000,2073.0000,52619.9358,1.0808,1.4303,0.6076,0.9353,https://www.canva.com/design/DAGutbGTyyg/Y251fYyUTElVAqjcaHKi6w/edit?utm_content=DAGutbGTyyg&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,,,,-9.03,21:03:13,,
North Peak,HD55892 (I Puppis),21:08:21 ,3/23/2025,-6,Dr. Heffron,37.901389,-105.032222,38.9997,-104.49723,3765.0000,2073.0000,130710.2040,0.9680,1.3293,-0.2000,0.2067,https://www.canva.com/design/DAGupdWer1Y/Gb9oJ-K8gPjMl9DnK-P1Uw/edit?utm_content=DAGupdWer1Y&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,-46.804974,-135.659821,10030449,-4.14,21:08:56,,
North Peak,HD56455 (PR Puppis),21:09:11 ,3/23/2025,-6,Dr. Heffron,37.901389,-105.032222,38.9997,-104.49723,3765.0000,2073.0000,130710.2040,0.9819,1.3409,-0.1935,0.2150,https://www.canva.com/design/DAGupdWer1Y/Gb9oJ-K8gPjMl9DnK-P1Uw/edit?utm_content=DAGupdWer1Y&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,,,,-4.14,,,
North Peak,HD56813,21:11:40 ,3/23/2025,-6,Dr. Heffron,37.901389,-105.032222,38.9997,-104.49723,3765.0000,2073.0000,130710.2040,0.9788,1.3381,-0.1996,0.2153,https://www.canva.com/design/DAGupdWer1Y/Gb9oJ-K8gPjMl9DnK-P1Uw/edit?utm_content=DAGupdWer1Y&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,,,,-4.14,,,
Getaway Mtn,HD 102928,00:36:25 ,7/1/2025,-6,Katalan,43.33889,-116.83461,43.4007966,-116.234757,1642.0000,890.0000,48973.1776,0.7577,1.0979,0.3143,0.6958,https://www.canva.com/design/DAGsIx3r62A/Loom7fNJcopvhM6L9z3RRQ/edit?utm_content=DAGsIx3r62A&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,-5.475567,159.404648,9972451,-10.83,0:36:43,,261.4666667
