Peak,Star,Date,Time,FE_pred_angle_dd,ΔFE_intersection_dd,GE_terrestrial_drop_dd,GE_pred_angle_dd,ΔGE_intersection__dd,"θStar,Obs,Apparent",Distance (m),"θStar,Obs,True"
Pikes Peak,39 Aquarii,2025-01-27,18:43:07,2.522519,-0.033681,0.227307,2.295212,0.192812,2.3256,50550.7634,2.1024
Blodgett Peak,LP Aquarii,2025-02-07,19:06:56,1.277873,0.085373,0.160659,1.117214,0.246014,1.1636,35729.0224,0.8712
Cheyenne Mountain,Mu Fornacis,2025-03-09,19:01:14,1.090556,0.089456,0.191334,0.899222,0.280822,0.9356,42550.7543,0.6184
Blue Mountain,HD 32515,2025-03-12,21:32:54,1.069619,0.064519,0.223499,0.846119,0.287919,0.885,49703.9764,0.5582
Mount Rosa,HD 17320,2025-03-10,19:51:26,1.723371,0.012071,0.214163,1.509208,0.226208,1.5469,47627.646,1.283
Green Mountain,HD 28388,2025-03-14,22:02:58,1.101682,0.020882,0.236611,0.865071,0.257471,0.9353,52619.9358,0.6076
North Peak,HD55892 (I Puppis),2025-03-23,21:08:21,0.741633,-0.226367,0.587753,0.153881,0.353881,0.2067,130710.204,-0.2
North Peak,HD56455 (PR Puppis),2025-03-23,21:09:11,0.741633,-0.240267,0.587753,0.153881,0.347381,0.215,130710.204,-0.1935
North Peak,HD56813,2025-03-23,21:11:40,0.741633,-0.237167,0.587753,0.153881,0.353481,0.2153,130710.204,-0.1996
Getaway Peak,HD 102928,2025-07-01,00:36:25,0.879727,0.122027,0.220213,0.659514,0.345214,0.6958,48973.1776,0.3143
Hounds Tooth,HD199828,2025-06-27,22:47:52,10.670806,0.053406,0.039519,10.631286,0.092986,10.6069,8788.6761,10.5383
Old Blyn,HD206088,2025-05-28,01:54:46,1.576627,0.213627,0.099165,1.477463,0.313563,1.5106,22053.2496,1.1639
Old Blyn,HD207098,2025-05-28,01:58:38,1.540478,0.215478,0.099152,1.441326,0.318126,1.4736,22050.4285,1.1232
Ediz Blyn,HD187663,2025-05-27,23:42:17,0.90303,0.20303,0.18372,0.719311,0.379311,0.7639,40857.3593,0.34
Ediz Blyn,3 Cap,2025-05-28,00:05:07,0.876349,0.236649,0.183729,0.69262,0.42032,0.7142,40859.3944,0.2723
Varley SE,Regulus,2025-06-11,00:30:21,4.866663,0.080863,0.074993,4.791671,0.155871,4.8019,16677.5973,4.6358
Puhitampi,EZ Cet,2025-12-31,01:11:53,1.166516,0.203416,0.245121,0.921395,0.395295,0.9147,54512.3666,0.5261
Puhitampi,53 Cet,2025-12-31,01:12:17,1.166516,0.229016,0.245121,0.921395,0.420795,0.8933,54512.3666,0.5006
Puhitampi,Baten Kaitos,2025-12-31,01:15:50,1.089084,0.200784,0.233459,0.855624,0.403724,0.8503,51918.9946,0.4519
Pikes Peak,HD 217533,2025-01-27,19:31:40,2.521523,-0.055077,0.227307,2.294216,0.185616,2.3342,50550.7634,2.1086
Pikes Peak,HD 217533 (2),2025-01-31,19:15:57,2.521523,-0.053277,0.227307,2.294216,0.187516,2.3322,50550.7634,2.1067
Pikes Peak,39 Aquarii (Moon),2025-01-30,18:31:22,2.521523,-0.027077,0.227307,2.294216,0.200316,2.3203,50550.7634,2.0939
Lucky Peak,HD 76600,2026-02-05,19:09:46,6.197432,0.158532,0.025135,6.172297,0.183497,6.115,5589.8634,5.9888
Lucky Peak,HD 76525,2026-02-05,19:09:59,6.197432,0.113432,0.025135,6.172297,0.159297,6.1388,5589.8634,6.013
Lucky Peak,SAO 117309,2026-02-05,19:11:35,6.197432,0.158832,0.025135,6.172297,0.183997,6.1145,5589.8634,5.9883
Lucky Peak,HD 77039,2026-02-05,19:12:16,6.197432,0.167132,0.025135,6.172297,0.192197,6.1063,5589.8634,5.9801
Lucky Peak,HD 78282,2026-02-05,19:19:33,6.197432,0.175832,0.025135,6.172297,0.200997,6.0978,5589.8634,5.9713
Lucky Peak,SAO 117493,2026-02-05,19:24:56,6.197432,0.140132,0.025135,6.172297,0.165197,6.1329,5589.8634,6.0071
Lucky Peak,HIP 45114,2026-02-05,19:24:57,6.197432,0.157232,0.025135,6.172297,0.182397,6.1161,5589.8634,5.9899
Lucky Peak,HIP 45592,2026-02-05,19:30:01,6.197432,0.153332,0.025135,6.172297,0.178497,6.1198,5589.8634,5.9938
Lucky Peak,SOA 117565,2026-02-05,19:30:24,6.197432,0.135032,0.025135,6.172297,0.160197,6.1379,5589.8634,6.0121
Lucky Peak,HD 80537,2026-02-05,19:33:57,6.197432,0.151732,0.025135,6.172297,0.176897,6.1215,5589.8634,5.9954
